rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_weighted,three_year_ago_avg,three_year_ago_weighted,confederation,rank_date
173,St Vincent and the Grenadines,VIN,88.6,91,3,34,34,0,0,66.68,20,172.98,34.6,CONCACAF,2018-06-07
173,Puerto Rico,PUR,88.59,128,-14,8.5,8.5,0,0,227.98,68.39,58.48,11.7,CONCACAF,2018-06-07
175,Chad,CHA,87.98,108,-7,0,0,0,0,293.25,87.98,0,0,CAF,2018-06-07
175,Moldova,MDA,87.81,98,-2,30.47,30.47,65.66,32.83,40.19,12.06,62.31,12.46,UEFA,2018-06-07
177,Dominica,DMA,86.07,86,0,51,51,0,0,63.75,19.13,79.71,15.94,CONCACAF,2018-06-07
178,Bermuda,BER,81.64,82,0,34,34,0,0,45.48,13.64,170,34,CONCACAF,2018-06-07
178,Laos,LAO,81.58,80,1,21.25,21.25,65.52,32.76,63.57,19.07,42.5,8.5,AFC,2018-06-07
180,Liechtenstein,LIE,79.76,77,1,40.17,40.17,0,0,23.51,7.05,162.64,32.53,UEFA,2018-06-07
181,Cuba,CUB,74.88,75,1,14.28,14.28,0,0,116.68,35,127.99,25.6,CONCACAF,2018-06-07
182,Guyana,GUY,73.41,111,-18,0,0,0,0,208.25,62.48,54.68,10.94,CONCACAF,2018-06-07
183,Bhutan,BHU,68,68,1,0,0,85,42.5,0,0,127.5,25.5,AFC,2018-06-07
184,Malta,MLT,65.11,62,1,29.9,29.9,11.74,5.87,64.57,19.37,49.85,9.97,UEFA,2018-06-07
185,Macau,MAC,60.11,60,1,18.21,18.21,53.13,26.56,8.5,2.55,63.92,12.78,AFC,2018-06-07
186,Mongolia,MNG,51,51,2,8.5,8.5,34,17,0,0,127.5,25.5,AFC,2018-06-07
186,São Tomé e Príncipe,STP,50.54,59,1,0,0,0,0,168.48,50.54,0,0,CAF,2018-06-07
188,Seychelles,SEY,48.47,37,6,22.42,22.42,7.08,3.54,58.32,17.5,25.08,5.02,CAF,2018-06-07
188,Aruba,ARU,48.45,75,-6,0,0,0,0,161.5,48.45,0,0,CONCACAF,2018-06-07
190,Guam,GUM,44.96,45,-1,0,0,0,0,113.42,34.03,54.64,10.93,AFC,2018-06-07
190,Timor-Leste,TLS,44.86,44,0,41.82,41.82,6.07,3.04,0,0,0,0,AFC,2018-06-07
192,American Samoa,ASA,38.25,38,-1,0,0,0,0,127.5,38.25,0,0,OFC,2018-06-07
192,Cook Islands,COK,38.25,38,-1,0,0,0,0,127.5,38.25,0,0,OFC,2018-06-07
194,Bangladesh,BAN,34.76,33,3,0,0,21.25,10.63,35.13,10.54,68,13.6,AFC,2018-06-07
195,Gibraltar,GIB,34.16,34,1,34.16,34.16,0,0,0,0,0,0,UEFA,2018-06-07
195,Brunei Darussalam,BRU,34,36,0,0,0,42.5,21.25,0,0,63.75,12.75,AFC,2018-06-07
197,Djibouti,DJI,31.88,27,1,0,0,63.75,31.88,0,0,0,0,CAF,2018-06-07
197,Samoa,SAM,31.88,38,-6,0,0,0,0,106.25,31.88,0,0,OFC,2018-06-07
199,US Virgin Islands,VIR,17.6,18,0,0,0,0,0,0,0,87.98,17.6,CONCACAF,2018-06-07
200,Sri Lanka,SRI,16.76,17,0,0,0,8.5,4.25,25.5,7.65,24.29,4.86,AFC,2018-06-07
201,Pakistan,PAK,10.17,10,2,0,0,0,0,0,0,50.83,10.17,AFC,2018-06-07
202,Cayman Islands,CAY,8.5,9,2,0,0,0,0,0,0,42.5,8.5,CONCACAF,2018-06-07
203,San Marino,SMR,7.92,8,2,0,0,0,0,0,0,39.6,7.92,UEFA,2018-06-07
204,British Virgin Islands,VGB,4.25,4,2,0,0,0,0,0,0,21.25,4.25,CONCACAF,2018-06-07
204,Montserrat,MSR,4.25,17,-4,0,0,0,0,0,0,21.25,4.25,CONCACAF,2018-06-07
206,Turks and Caicos Islands,TCA,0,13,-4,0,0,0,0,0,0,0,0,CONCACAF,2018-06-07
206,Anguilla,AIA,0,0,1,0,0,0,0,0,0,0,0,CONCACAF,2018-06-07
206,Bahamas,BAH,0,0,1,0,0,0,0,0,0,0,0,CONCACAF,2018-06-07
206,Eritrea,ERI,0,0,1,0,0,0,0,0,0,0,0,CAF,2018-06-07
206,Somalia,SOM,0,0,1,0,0,0,0,0,0,0,0,CAF,2018-06-07
206,Tonga,TGA,0,0,1,0,0,0,0,0,0,0,0,OFC,2018-06-07
