Fecha,México,Alemania,Brasil,China,España,Italia,Portugal,Rusia,Turquía,Perú,Sudáfrica,Polonia,Indonesia,Chile,Colombia,Hong Kong,Corea,Malasia,Tailandia,USA,Francia,Grecia
20/04/2016,149.369695068038,17.2836628090392,327.037074891652,123.037597536283,84.9693336567149,119.451131925797,248.579682310484,244.172317465549,225.90170002974,143.646298578218,269.121041414417,86.1769396261014,193.902899720533,90.9674918125449,201.182726360443,55.8548863546566,63.8586464445397,162.899327524897,123.99922360356,10.5285096143423,33.7987087813683,1138.14881100078
21/04/2016,158.784753568443,17.6171441964245,343.494522485381,120.693508648124,82.8061374173761,115.914670096431,241.643666435249,241.693286644087,230.869344730066,150.788046397712,272.747364068206,85.4658174805147,188.555234800176,96.9727454819004,212.629195322242,55.4163081534021,62.2011821982954,152.851291391498,121.398797079524,10.5285096143423,34.101557697761,1172.9087467418
22/04/2016,157.986075569723,17.2893678110252,349.468776291123,122.591459992659,82.5037118728686,114.990611089897,245.200927897184,243.918342253714,234.198504540616,149.881703435208,279.171990263106,84.9621863444168,188.03282976917,97.1183155173547,213.181549781681,55.4360555845311,63.3554002268302,155.807509510345,122.595140754511,10.5067464677815,34.3429270524945,1172.14041830341
25/04/2016,160.48925246971,17.3915086608585,351.217672476737,127.440862828398,82.9572018182046,116.283449532172,245.694412133146,250.939308109077,238.511740321865,152.31911585425,287.277740020297,84.9597356255966,191.672435252461,100.078066095106,215.695955145132,55.4595187866683,65.2877819346059,161.957588370978,125.836613965095,10.4087751189861,34.4896828382278,1134.01058204628
26/04/2016,156.82848910278,17.225903867118,338.059326091129,126.637774146887,82.306654059308,115.555532282724,240.636259809691,249.376133809547,238.317626413814,147.899131485867,286.819867246971,84.7388443996314,191.676994733553,96.3531237037296,211.963183487607,54.9690990491264,64.3781632593145,164.417032278534,126.030026815702,10.5309733171212,34.5169117910096,1131.07076825814
27/04/2016,152.289385745947,17.0570430441731,325.547102267483,126.584860590323,81.9165115882198,113.882394020599,238.560394506508,247.628771876225,236.166107116364,143.884083038542,283.313872540243,85.134740852907,191.066606978316,94.613283564254,204.194902983443,54.7785400683197,64.2034882252991,163.485797716149,124.502675218036,10.5579996641182,34.6469287194343,1199.33251043017
28/04/2016,156.139771013773,17.0493810663173,329.397203393691,127.107955258916,82.3493340075421,114.209521836778,239.027670632645,242.028092408018,232.159698024571,145.603584258372,276.727295175911,85.2228077990873,188.423191557311,95.2105962394806,210.270797009507,54.9422269613422,64.0114563795868,163.759019019152,124.518607238438,10.5579996641182,34.6511107355241,1209.94438078878
29/04/2016,161.392804030194,16.717394475899,329.494472530616,127.012605866903,83.3534465478554,113.43908186588,244.634896013543,242.510249555929,236.999049309273,150.979059117936,279.745400977722,85.3898222598162,187.724603585217,97.909486193619,216.833188461107,54.8219605511572,64.261245560795,163.153033989974,124.192323575182,10.5579996641182,35.0697573104955,1198.79911340359
02/05/2016,159.791291122291,16.7180611531037,327.676492482607,126.880384818691,82.5100554133508,112.930420245869,242.032633682474,242.775921921543,236.587507527964,150.251715564639,280.234570345369,85.3897504151002,187.768425743956,98.1811213984809,215.126509692461,54.8215003824131,64.2620181608859,163.148261810082,124.241600849846,10.5579996641182,35.0699734832069,1213.30522702106
03/05/2016,167.43868014966,16.6413593585987,336.16260291011,127.726192581372,83.7034858395505,115.469090324988,242.600219050853,254.898332196468,244.41704657253,157.644184182389,291.808046510686,86.2707270724465,184.278031111432,101.966397433995,222.931883390446,55.5419107734081,64.5338133985493,163.378824522259,124.346960241008,10.5579996641182,35.5687792156971,1105.94504968366
04/05/2016,168.237972377537,17.2992598529845,335.141168915194,130.110281338677,84.7943767664384,117.709124088847,245.33109690643,258.212021996699,255.578372479557,160.046151621554,300.129015328034,86.4137685721711,188.527439486566,100.90708893042,226.918958455367,55.710203876906,65.2359573015679,163.424240913726,125.532192982564,10.5579996641182,35.572549927608,1110.29878727735
