Marca,Submarca,Version,Modelo,Transmision,Combustible,Cilindros,Potencia,Tamaño,Categoria,Rend_Ciudad,Ren_Carretera,Rend_Comb,Rend_Ajustado,CO2,Nox,Calificacion_Gas,Calificacion_ContamAire
MAZDA,MAZDA3,s 4PTAS 2.5L 4CIL 188HP AUT R16,2016,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.3,21.7,16.89,12.67,184,9,7,9
MAZDA,MAZDA3,i TOURING 4PTAS 2.5L 4CIL 188HP AUT R16,2017,AUT,Gasolina,4,188,2.488,AUTOS COMPACTOS,14.3,21.7,16.89,12.67,184,9,7,9
CHEVROLET,CRUZE,4PTS 1.4L 4CIL 138HP MAN TURBO,2016,MAN,Gasolina,4,138,1.4,AUTOS COMPACTOS,14.29,23.88,17.45,13.08,178,6,8,9
VW,CLASICO,TDI 4PTS 1.9L 4CIL 100HP MAN TURBO DIESEL,2012,MAN,Diesel,4,100,1.9,AUTOS COMPACTOS,14.29,21.74,18.27,13.7,196,211,7,?
VW,CLASICO,TDI 4PTS 1.9L 4CIL 100HP MAN TURBO DIESEL,2013,MAN,Diesel,4,100,1.9,AUTOS COMPACTOS,14.29,21.74,18.27,13.7,196,211,7,?
VW,JETTA,GP 4PTS 1.9L 4CIL 100HP MAN TDI,2011,M5,Diesel,4,100,1.9,AUTOS COMPACTOS,14.29,21.74,18.27,13.7,196,211,7,?
FORD,FOCUS,SEDAN 4PTS 2.0L 4CIL 160HP MAN,2014,MAN,Gasolina,4,160,2,AUTOS COMPACTOS,14.26,21.42,16.79,12.59,185,19,7,8
NISSAN,SENTRA,4PTS 1.8L 4CIL 129HP MAN,2013,MAN,Gasolina,4,129,1.8,AUTOS COMPACTOS,14.25,22.36,17.03,12.77,183,17,8,8
NISSAN,SENTRA,4PTAS 1.8L 4CIL 129HP CVT,2016,MAN,Gasolina,4,129,1.8,AUTOS COMPACTOS,14.25,22.36,17.03,12.77,183,17,8,8
KIA,SOUL,5PTAS 1.6L 4CIL 122HP AUT,2017,AUT,Gasolina,4,122,1.6,AUTOS COMPACTOS,14.22,20.28,17.81,13.36,175,24,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 122HP AUT,2018,AUT,Gasolina,4,122,1.6,AUTOS COMPACTOS,14.22,20.28,17.81,13.36,175,24,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 122HP AUT,2016,AUT,Gasolina,4,122,1.6,AUTOS COMPACTOS,14.22,20.28,16.43,12.32,189,24,7,7
FORD,FOCUS,HATCHBACK 5PTS 2.0L 4CIL 160HP MAN,2012,MAN,Gasolina,4,160,2,AUTOS COMPACTOS,14.2,21.4,16.73,12.55,186,16,7,8
FORD,FOCUS,SEDAN 4PTS 2.0L 4CIL 160HP MAN,2012,MAN,Gasolina,4,160,2,AUTOS COMPACTOS,14.2,21.4,16.73,12.55,186,16,7,8
